key,program_type,catalog_url,duration,difficulty,title,summary,skills
nd043,Nanodegree,https://www.udacity.com/course/digital-project-management-nanodegree--nd043,a month,Beginner,Digital Project Management,"Digital Project Management enables the creation and development of online content, products, and services that help companies stay in business and grow. A digital project manager leverages digital tools to coordinate projects so they get done on time and within a budget, while satisfying the underlying needs of the business and its customers. The key skills you will learn from Digital Project Management Nanodegree include translating business requirements into a project scope statement, building project plans in Waterfall or Agile, and developing a high-performing team. The Digital Project Management Nanodegree teaches foundational concepts and common methods used today. It’s a fast-growing field that impacts a wide range of industries, including retail, media, and technology.","['Agile frameworks', 'Business KPIs', 'Cost-benefit analysis', 'Gantt charts', 'Knowledge sharing', 'Professional portfolios', 'Project closure', 'Project execution', 'Project initiation', 'Project management artifacts', 'Project management frameworks', 'Project monitoring and control', 'Project planning', 'Project risk mitigation', 'Project scheduling', 'Project scoping', 'Project status reporting', 'Raci matrices', 'Requirements gathering', 'S.M.A.R.T. goals', 'STARI stories', 'Scrum', 'Scrum boards', 'Software development lifecycle', 'Sprint planning', 'Stakeholder analysis', 'Strategic communication plans', 'Team development', 'The Tuckman ladder', 'Waterfall project management']"
nd0035,Nanodegree,https://www.udacity.com/course/enterprise-security-nanodegree--nd0035,3 months,Intermediate,Enterprise Security,"The Enterprise Security Nanodegree program imparts foundational skills in security engineering for corporate environments. Covering network and data security, endpoint protection, and application security, you will learn to design robust defenses, manage data integrity, and comply with privacy regulations, which will enhance the security posture of any enterprise.","['API security', 'Application code vulnerabilities', 'Azure architecture', 'Backup strategy', 'Cloud hardening strategy', 'Container vulnerability management', 'Control systems hardening strategy', 'Cybersecurity compliance', 'Cybersecurity incident response playbooks', 'Cybersecurity policy writing', 'Data encryption', 'Data privacy classification', 'Data privacy regulations', 'Data security policy writing', 'DevSecOps', 'Device hardening strategy', 'Did framework', 'File integrity monitoring', 'Hashing', 'Identity and access management fundamentals', 'Ioc management', 'It asset management', 'It continuous monitoring', 'Mobile device management', 'Nessus', 'Network security with Azure', 'Network segmentation', 'Network topologies', 'Penetration testing', 'Sabsa framework', 'Secure network architecture design', 'Security auditing', 'Security devices', 'Security information and event management', 'Server hardening strategy', 'Soar platforms', 'Software development lifecycle', 'Threat modeling', 'Trivy', 'VPN', 'Vulnerability management', 'Zero trust security model']"
nd313,Nanodegree,https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,2 months,Advanced,Sensor Fusion,"The Sensor Fusion Engineer Nanodegree program consists of four courses that teach the fundamentals of sensor fusion and perception for self-driving cars. The program covers lidar, radar, camera, and Kalman filters, and includes lessons on working with real-world data, filtering, segmentation, clustering, and object tracking. In addition, students will work on a capstone project that involves building a complete sensor fusion pipeline for autonomous vehicles. Upon completing the program, graduates will have the skills and knowledge necessary to design and implement sensor fusion systems for self-driving cars.","['Autonomous vehicle fluency', 'Autonomous vehicle sensor selection', 'Basic trigonometry', 'Bounding boxes', 'C++ for robotics', 'Camera measurement models', 'Cluster models', 'Collision detection', 'Computer vision image filtering', 'Computer vision image transformations', 'Curve fitting', 'Digital cameras', 'Digital image keypoint descriptors', 'Digital image keypoints', 'Euclidean clustering', 'Extended kalman filters', 'Feature detection', 'Fourier transforms', 'Harris detector', 'Image gradient calculation', 'Jacobians', 'K-d trees', 'Kalman filters', 'Lidar', 'Lidar data representation', 'Lidar measurement models', 'Lidar simulator', 'Lidar visualization', 'Multi-target object tracking', 'Non-linear motion tracking', 'Object clustering', 'Object detection', 'Object motion models', 'Object tracking', 'Opencv', 'Point cloud data', 'Point cloud library', 'Point clouds', 'Radar', 'Radar angle of arrival', 'Radar angle resolution', 'Radar clutter thresholding', 'Radar range estimation', 'Radar range resolution', 'Radar velocity estimation', 'Radar velocity resolution', 'Ransac algorithm', 'Robot trajectory generation', 'Sae j3016 levels of driving automation standard', 'Sensor fusion', 'Sensor specifications', 'Sift algorithm', 'Unscented kalman filters', 'Yolo algorithm']"
nd1202,Nanodegree,https://www.udacity.com/course/cybersecurity-for-business-leaders--nd1202,9 days,Beginner,Cybersecurity for Business Leaders,"Future C-suites and senior managers need to be equipped with practical knowledge, skills, and tools to prepare for most likely cyber threats to their digital ecosystem. As part of this program you will understand the role of cybersecurity for the business and set the stage for their organization-specific response plans. Finally, you will prepare to make resource decisions to increase your organizational preparedness for the future.","['Basic cybersecurity implementation', 'Cybersecurity fluency', 'Cybersecurity incident response playbooks', 'Cybersecurity regulations and standards', 'Cybersecurity risk management', 'Cybersecurity training strategies', 'Phishing', 'Security devices', 'Security risk classification', 'Social engineering', 'Threat actors']"
nd104,Nanodegree,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,2 months,Beginner,Programming for Data Science with Python,"Learn programming skills needed to uncover patterns and insights in large data sets, running queries with relational databases and working with Unix shell and Git.","['Anaconda', 'Built-in Python functions', 'Chart selection', 'Control flow', 'Data storytelling', 'Data visualization design', 'Docstrings', 'Git', 'Iterators', 'List comprehension', 'NumPy', 'Pandas', 'Python best practices', 'Python data structures', 'Python data types', 'Python exception handling', 'Python function definition', 'Python ides', 'Python methods', 'Python operators', 'Python package management', 'Python scripting', 'Python syntax', 'SQL aggregations', 'SQL joins', 'SQL queries', 'SQL subqueries', 'SQL window functions', 'Tableau calculated fields', 'Tableau data pane', 'Tableau field organization and customization', 'Tableau interactive dashboards', 'Tableau map-based visualizations', 'Tableau storypoint', 'Tableau visualizations', 'Unix shell', 'User input handling', 'Variable scope']"
nd098,Nanodegree,https://www.udacity.com/course/business-analytics-nanodegree--nd098,3 months,Beginner,Business Analytics,"Master essential data analysis skills to drive informed business decisions across industries. This program covers data fundamentals, teaching you to collect, analyze, and visualize data using Excel, SQL, and Tableau. Learn to work with spreadsheets, perform statistical analysis, create financial models, and build interactive dashboards. Apply your skills to real-world projects, such as analyzing NYSE S&P financial data and optimizing business practices using a digital music store database. Gain proficiency in data-driven decision-making, financial forecasting, and creating impactful visualizations. This program is designed for aspiring business analysts and professionals seeking to enhance their data analysis and interpretation capabilities in a business context.","['Basic descriptive statistics', 'Basic spreadsheet use', 'Business KPIs', 'Categorical data visualization', 'Chart selection', 'Chart types', 'Data storytelling', 'Data validation in spreadsheets', 'Data visualization design', 'Data visualization in spreadsheets', 'Finance metrics', 'Forecast modeling in spreadsheets', 'Growth metrics', 'Inferential statistics', 'Marketing metrics', 'Pivot tables', 'Professional presentations', 'Quantitative data visualization', 'SQL aggregations', 'SQL joins', 'SQL queries', 'SQL subqueries', 'SQL window functions', 'Sales metrics', 'Spreadsheet functions', 'Tableau calculated fields', 'Tableau data pane', 'Tableau field organization and customization', 'Tableau interactive dashboards', 'Tableau map-based visualizations', 'Tableau storypoint', 'Tableau visualizations']"
nd090,Nanodegree,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090,2 months,Advanced,Cloud Architect using Microsoft Azure,"This program will teach you how to become an Azure Cloud Architect, build a migration plan to migrate from on-premises to the Azure Cloud, and apply automation, high availability, and backup/recovery skills to the role of an Azure Cloud Architect, Cloud Server Engineer, Azure Security Engineer, DevOps Engineer, and more.



","['Automated cloud cost optimization', 'Azure active directory', 'Azure ad connect', 'Azure bastion', 'Azure blueprints', 'Azure conditional access policies', 'Azure defender', 'Azure desired state configuration', 'Azure insights', 'Azure key vault', 'Azure load balancing services', 'Azure log analytics', 'Azure migrate', 'Azure network security groups', 'Azure network watcher', 'Azure pricing calculator', 'Azure resource manager', 'Azure security center', 'Azure sentinel', 'Azure site recovery', 'Azure smart alerts', 'Azure total cost of ownership calculator', 'Azure virtual machine backup', 'Azure web application firewall', 'Cloud availability', 'Cloud blueprints', 'Cloud computing business context', 'Cloud cost evaluation', 'Cloud cost policies', 'Cloud design principles', 'Cloud migration', 'Cloud migration strategy', 'Cloud operational efficiency', 'Cloud resource provisioning', 'Data encryption', 'Database security', 'Disaster recovery plans', 'Distributed denial-of-service protection', 'Identity and access management fundamentals', 'Multi-factor authentication', 'Privileged identity management', 'Resource hardening with Azure', 'Route based vpn', 'Zero trust security model']"
nd046,Nanodegree,https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046,26 days,Beginner,Cloud Computing for Business Leaders,"Empower your organization to harness the full potential of cloud computing. As a business leader, you will gain critical insights to strategically implement cloud technologies that streamline operations, reduce costs, and fuel innovation. With practical guidance on optimizing workflows and fostering a cloud-native mindset, you’ll gain the tools to transform your department into an agile, scalable powerhouse. Whether aiming for growth or improved efficiency, this program helps you understand how to leverage cloud systems effectively, align teams, and build a future-ready infrastructure tailored to business success.","['Cloud compliance', 'Cloud computing business context', 'Cloud computing fluency', 'Cloud cost governance', 'Cloud deployment models', 'Cloud governance strategy', 'Cloud migration strategy', 'Cloud product management', 'Cloud product strategy', 'Cloud roi', 'Cloud security strategy', 'Cloud solution evaluation', 'Cross-functional collaboration', 'Organizational capability building', 'Organizational skill gap analysis', 'Technology gap analysis']"
nd025,Nanodegree,https://www.udacity.com/course/data-scientist-nanodegree--nd025,2 months,Advanced,Data Scientist,"What if you could recommend the perfect movie, predict housing prices to guide smart investments, or anticipate healthcare outcomes like diabetes and breast cancer? These are just a few of the challenges Data Scientists tackle every day. Data science is the driving force behind solving complex problems across industries. It can help HR departments retain their employees, allow policymakers to predict economic outcomes, and even enable NASA scientists to monitor environmental changes. In this program, you’ll not only tackle these real-world applications but also gain the skills to envision new solutions yourself. You’ll build projects that directly mirror the work done by data scientists in the field, incorporating the latest AI tools in both your workflows and your deliverables.","['AI algorithms in Python', 'Actionable insight generation', 'Basic supervised machine learning', 'Basic unsupervised learning', 'Blog posts', 'Business metrics', 'CRISP-DM', 'Cluster validation', 'Computer vision fluency', 'Convolutional neural networks', 'Data pre-processing for ML', 'Data storytelling', 'Dimensionality reduction', 'Evaluating unsupervised learning models', 'Feature extraction', 'Feature importance calculation', 'Feature visualization', 'Github actions', 'Github portfolios', 'Gradient descent', 'Hierarchical clustering models', 'Hyperparameter tuning', 'Image pre-processing', 'Inheritance', 'K-means clustering', 'Latent variables', 'Lemmatization', 'Linting', 'Machine learning pipeline creation', 'Magic methods', 'Matrix factorization', 'Model bias analysis', 'Model cross-validation', 'Model deployment', 'Model evaluation', 'NLP models', 'NLP pipelines', 'Neural network basics', 'Object-oriented Python', 'Object-oriented design patterns', 'Opencv', 'Part of speech tagging', 'Principal component analysis', 'PyTorch', 'Python classes', 'Python decorator functions', 'Python package management', 'Python packaging', 'Python virtual environments', 'Random forest models', 'Recommendation engines', 'Recommender system limitations', 'Similarity Score', 'Stemming', 'Support vector machines', 'Tokenization', 'Tree-based models', 'Types of recommenders', 'Unit testing', 'Web forms', 'scikit-learn']"
nd002,Nanodegree,https://www.udacity.com/course/data-analyst-nanodegree--nd002,a month,Intermediate,Data Analyst,"Clean up messy data, uncover patterns and insights, and communicate your findings. You'll start with an introduction to data analysis tools, including Jupyter Notebook, NumPy, pandas, and Matplotlib. Using these tools, you will ask questions about data and answer them through data collection, exploration, wrangling, and visualization. This intermediate-level program includes real-world projects where you will choose your own datasets, research questions, and analysis approach. As you progress through the program, each course will repeat the data analysis process while introducing more advanced techniques, such as applying data imputation to fill in missing data and applying appropriate encodings when developing data visualizations.","['Basic data visualizations', 'Data Tidiness Assessment', 'Data analysis process', 'Data cleaning', 'Data fluency', 'Data gathering', 'Data limitations and biases', 'Data manipulation', 'Data quality assessment', 'Data storage', 'Data storytelling', 'Data visualization design', 'Data wrangling', 'Exploratory data analysis', 'File i/o', 'Jupyter notebooks', 'Latent variables', 'NumPy', 'Pandas', 'Professional presentations', 'Quantitative data visualization']"
